,DLSt01,DLSt02,DLSt03,DLSw202001,DLSw202002,DLSw202003,DPSt01,DPSt02,DPSt03,DPSw202001,DPSw202002,DPSw202003,HLt01,HLt02,HLt03,HLw202001,HLw202002,HLw202003,SLTt01,SLTt02,SLTt03,SLTw202001,SLTw202002,SLTw202003,SLt01,SLt02,SLt03,SLw202001,SLw202002,SLw202003,XSt01,XSt02,XSt03,XSw202001,XSw202002,XSw202003
Zotu4384,3,0,0,1,0,2,0,0,0,1,5,0,1,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,10,2
Zotu4385,4,33,12,0,0,0,1,0,1,0,0,0,12,141,15,0,0,0,0,2,0,0,0,0,174,105,45,0,0,0,22,1,38,0,1,0
Zotu4386,2,10,5,0,0,1,2,0,5,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,2,0,2,0
Zotu4387,0,0,0,4,4,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0
Zotu4388,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,6,1,49,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,3,2,2
Zotu4389,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1,0,0,0,0,12,9,23,0,0,0,1,0,1
Zotu439,0,0,0,253,136,45,0,0,0,32,4,0,0,0,0,690,74,45,0,0,0,98,5,36,0,0,0,35,154,44,0,0,0,126,120,75
Zotu4390,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,1,0,5,0,0,0,0,1,0,0,0,0,1,0,1
Zotu4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Zotu4393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu4394,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0,0,0
Zotu4396,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu4397,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,78,0,0,0,0,0
Zotu4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu4399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu44,0,0,0,4420,4065,4688,0,0,0,350,422,2,0,0,0,18,1151,1739,0,0,0,9,13,585,0,24,0,418,428,384,0,33,0,346,456,3
