,DLSt01,DLSt02,DLSt03,DLSw01,DLSw02,DLSw03,DPSt01,DPSt02,DPSt03,DPSw01,DPSw02,DPSw03,HLt01,HLt02,HLt03,HLw01,HLw02,HLw03,SLTt01,SLTt02,SLTt03,SLTw01,SLTw02,SLTw03,SLt01,SLt02,SLt03,SLw01,SLw02,SLw03,XSt01,XSt02,XSt03,XSw01,XSw02,XSw03
Zotu4046,6,4,4,0,0,0,3,2,2,0,0,0,1,0,3,0,0,0,4,2,2,0,0,0,5,9,11,0,0,0,0,2,2,0,1,0
Zotu4047,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Zotu4048,0,2,8,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Zotu405,902,159,107,1,0,0,14,2,12,0,0,2,250,11,16,0,0,0,187,5,4,1,1,0,100,0,112,0,0,0,34,18,96,0,0,3
Zotu4050,0,0,0,0,0,3,0,0,0,1,26,18,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Zotu4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,4
Zotu4052,8,26,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,7,0,0,0,1,0,1,0,0,0
Zotu4053,0,7,1,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,6,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4054,1,1,0,0,0,0,51,4,1,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,5,0,0,0,1,0,2,0,0,0,1,0
Zotu4055,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,7,0,0,0,0
Zotu4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu4057,1,5,16,0,1,0,0,0,1,0,0,0,11,0,11,0,1,0,1,0,4,0,0,0,1,0,2,1,0,1,3,2,1,0,1,0
Zotu4058,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
Zotu4059,5,6,10,0,0,1,4,1,7,2,0,1,0,0,4,2,1,1,2,6,13,2,0,0,8,0,31,1,1,8,0,1,0,2,0,6
Zotu406,14,229,9,0,1,1,77,63,101,0,0,4,14,30,2,0,4,0,98,650,71,0,2,0,22,0,15,0,2,0,11,22,55,0,0,5
Zotu4060,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Zotu4061,9,1,3,0,0,0,0,0,1,0,0,0,7,3,1,0,0,0,4,0,1,0,0,0,3,1,1,0,0,0,1,2,1,0,0,0
Zotu4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2
Zotu4063,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Zotu4064,0,0,0,2,6,0,0,0,0,1,0,2,0,2,0,4,0,0,0,0,0,13,21,26,0,0,0,0,0,5,0,0,0,0,0,0
Zotu4065,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu4066,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
Zotu4067,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,4,3,2
Zotu4068,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51,17,4
Zotu4069,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0
Zotu407,3,1,1,1,3,0,0,3,0,23,14,29,0,3,0,26,1,0,0,0,0,687,480,190,1,4,0,0,0,16,0,6,11,0,1,0
Zotu4070,53,6,23,1,0,0,30,7,41,0,0,0,15,18,9,0,0,0,26,4,8,0,0,0,18,0,17,0,0,0,7,4,1,1,1,1
Zotu4071,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,40,0,0,0,0,0,0,0,0,0
Zotu4072,0,0,0,54,33,4,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,2,3,14,0,0,0,1,4,4,0,0,0,0,0,0
Zotu4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0
Zotu4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,4,0,0,0
Zotu4075,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,5,0,0,0,0,0,36,13,1,0,0,0,0,0,3,0,0,0,22,0,4
Zotu4076,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,1,1,2,0,1,0,1,0
Zotu4077,5,1,2,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,7,0,0,0,1,7,0,0,0,0
Zotu4078,1,0,3,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,1,0,0,1,1,0,2,0,1,0,0,0,9,0,0,0
Zotu4079,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu408,0,3,1,5,1,2,0,2,1,18,20,39,0,13,0,16,5,1,0,0,0,20,129,34,0,16,0,11,9,6,0,2,7,46,48,52
