,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu4801,2,0,3,2,2,3,0,6,2,5,1,1,2,1,0,2,0,0,2,2,0,1,1,1,1,1,2,3,3,4,3,2,1,1,4,2
Zotu4802,0,0,1,1,0,34,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,5,3,3,0,1,2,2,1,0,0,1
Zotu4803,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,1,2,2,0,10,0,3,0,0,1,1,2,1,3,0,0,0,1
Zotu4804,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Zotu4805,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4806,1,1,9,1,0,0,1,3,7,0,0,0,2,3,1,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0
Zotu4807,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4808,2,2,17,8,10,1,0,0,0,6,2,1,2,5,1,0,0,0,0,0,1,3,2,1,0,0,3,0,0,0,4,0,0,1,0,0
Zotu4809,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Zotu481,1,0,0,0,23,0,0,0,0,14,24,12,0,39,0,0,0,0,0,0,26,15,1324,20,28,0,0,0,0,0,0,0,0,0,0,0
Zotu4810,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
Zotu4811,0,0,0,5,1,2,0,0,0,0,0,0,0,0,2,3,0,29,0,0,1,0,0,5,0,8,0,0,0,1,0,0,0,1,3,0
Zotu4812,0,0,0,1,7,6,1,0,0,0,1,0,0,1,1,1,13,2,0,0,4,0,4,7,3,2,0,2,0,0,0,0,0,2,0,2
Zotu4813,0,0,0,0,1,4,0,0,0,4,4,7,0,0,3,0,0,2,0,0,0,8,2,32,0,5,0,0,0,0,0,0,0,0,0,0
Zotu4815,3,1,4,0,3,0,3,2,3,1,4,0,0,11,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1
