,DLSs01,DLSs02,DLSs03,DLSw01,DLSw02,DLSw03,DPSs01,DPSs02,DPSs03,DPSw01,DPSw02,DPSw03,HLs01,HLs02,HLs03,HLw01,HLw02,HLw03,SLTs01,SLTs02,SLTs03,SLTw01,SLTw02,SLTw03,SLs01,SLs02,SLs03,SLw01,SLw02,SLw03,XSs01,XSs02,XSs03,XSw01,XSw02,XSw03
Zotu10122,24,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Zotu10123,8,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0,0
Zotu10124,1,1,7,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10125,3,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,0
Zotu10126,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0
Zotu10128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,1,0,0,0,0
Zotu10129,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0,0,0,0,0,0,0,1,0
Zotu1013,45,3,16,0,2,0,0,1,0,0,0,1,0,0,2,0,2,0,2,3,1,0,1,1,15,13,87,0,0,1,4,4,0,0,0,1
Zotu10130,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zotu10131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,0,0,0,0,0,0
Zotu10133,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
Zotu10135,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Zotu10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,3,0,0,0
Zotu10138,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0
Zotu10139,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2
Zotu1014,0,0,2,1,1,43,1,4,3,18,150,110,1,0,0,7,4,1,1,1,0,19,36,3,0,1,0,5,3,2,3,4,1,3,8,2
Zotu10141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0
Zotu10143,0,0,0,0,1,7,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,0,3,3,0
Zotu10144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10145,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10146,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10148,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,1,0,0,0,0,1
Zotu10149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0
Zotu1015,9,2,10,0,1,0,64,0,3,1,0,2,1,0,4,0,3,0,0,0,0,4,1,15,2,0,6,0,3,0,0,5,0,0,1,1
Zotu10150,0,0,0,0,0,0,1,2,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,1,1,0,0,1,1
