,DLSm01,DLSm02,DLSm03,DLSse01,DLSse02,DLSse03,DPSm01,DPSm02,DPSm03,DPSse01,DPSse02,DPSse03,HLm01,HLm02,HLm03,HLse01,HLse02,HLse03,SLTm01,SLTm02,SLTm03,SLTse01,SLTse02,SLTse03,SLm01,SLm02,SLm03,SLse01,SLse02,SLse03,XSm01,XSm02,XSm03,XSse01,XSse02,XSse03
Zotu10131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Zotu10132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Zotu10133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10135,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
Zotu10136,0,0,0,0,2,0,0,0,0,1,2,8,0,0,0,0,0,4,0,0,0,5,2,2,0,0,0,0,0,1,0,0,0,1,6,1
Zotu10138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Zotu10139,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,1,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0
Zotu1014,0,0,0,1,0,0,0,0,0,18,40,22,0,2,0,1,0,0,1,8,7,14,14,9,2,0,0,0,0,2,0,2,0,7,12,2
Zotu10141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10147,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Zotu10148,1,0,1,0,0,0,1,6,5,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0
Zotu10149,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1015,17,16,21,0,0,1,2,0,2,0,3,0,2,18,18,0,0,0,507,15,7,0,0,0,2,7,138,0,0,0,20,6,0,0,1,0
Zotu10150,1,0,9,0,0,0,0,22,38,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,1,0,0,0
Zotu10151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10153,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2
Zotu10154,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
